Date,Regulus,Bast,Heartwood,Ochre,AlchemicalResin,MundaneRune,DecorativeWax
10-07-20,165432,108132,202918,73445,150593,227440,128813
10-10-20,173492,125831,229421,75949,167878,226183,149021
10-13-20,152778,122608,212376,74844,173240,196099,153381
10-17-20,154878,146868,202615,75512,177060,167739,139222
10-20-20,166133,144371,202156,73035,185225,162114,136324
10-24-20,181035,118525,198905,72808,175092,160966,138885
10-27-20,167404,115287,191898,67318,145532,155827,148997
10-31-20,151428,107327,185626,73410,149491,144898,150305
11-03-20,151548,107768,164709,71888,146825,124783,125373
11-07-20,140760,113333,152794,75760,144930,110874,107072
11-10-20,144941,117796,165978,80147,167288,121883,111579
11-14-20,179221,139443,199267,95325,181748,168116,135430
11-17-20,210712,164562,203249,117194,202738,204324,139977
11-21-20,189864,167649,199799,120009,214118,219394,129296
11-25-20,161305,147404,201374,114649,193927,193938,129930
11-28-20,158345,159146,196033,92547,173903,173306,128097
12-01-20,153484,157869,189105,89425,166981,182437,134041
12-05-20,147883,152336,171088,110806,180211,176196,142313
12-08-20,142556,158080,156765,121894,183294,150311,126322
12-12-20,134413,150164,137332,115894,172257,119229,99654
12-15-20,126837,143803,136824,143526,174165,114560,101956
12-19-20,204111,225793,376720,141455,169789,123142,117703
12-22-20,342834,320785,618371,108475,168480,129468,129299
12-26-20,385365,359550,616390,101090,147886,133444,126593
12-29-20,348148,321352,533988,100432,154775,130814,115055
01-02-21,332824,304436,449282,102566,162558,136301,109481
01-05-21,303025,263735,369059,100944,147683,144897,115721
01-09-21,262375,212483,280820,89688,134160,147601,126701
01-12-21,240708,203095,246835,90172,131911,137696,122263
01-16-21,1337688,1160881,1547102,447197,750605,428463,503169
01-19-21,1577912,1372649,1842284,549913,899219,466311,585087
01-24-21,207564,189235,211196,86807,142631,125750,101885
01-28-21,202889,170865,203645,87096,160970,123303,102196
02-01-21,207853,168965,210406,89923,169192,125740,102064
02-04-21,210778,182040,225736,96429,153562,136192,109906
03-22-22,210922,150651,171519,111842,227160,169439,130954
05-31-22,195591,165229,194804,68259,154874,141141,116426
06-01-22,199471,167410,210097,69135,160104,151353,126349
06-04-22,193868,176634,212365,61469,155924,148539,129359
06-08-22,150335,142127,205852,52317,196189,164048,127950
06-13-22,135216,122217,188790,46250,191886,170925,127599
06-15-22,131978,114092,193237,42022,184514,177984,128207
06-18-22,133660,100984,194796,36989,170982,187830,136581
06-22-22,135093,103582,199811,35753,178312,174272,141750
06-25-22,130796,102214,203970,33251,185525,186057,142396
06-29-22,131828,107923,201045,29909,193021,191897,149059